Episode no = 10; won: True; Q(s,a) = 373.5710505523067; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:18
Episode no = 20; won: True; Q(s,a) = 442.557734466925; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:18
Episode no = 30; won: True; Q(s,a) = 391.1337950004446; reward = 96.0; and epsilon = 0.0, win percentage = 0.9, 2025-11-03 16:12:18
Episode no = 40; won: True; Q(s,a) = 343.27030235394625; reward = 89.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:19
Episode no = 50; won: True; Q(s,a) = 469.3237836259678; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:19
Episode no = 60; won: True; Q(s,a) = 379.98532983752045; reward = 91.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:20
Episode no = 70; won: True; Q(s,a) = 442.6964367992491; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:20
Episode no = 80; won: True; Q(s,a) = 439.49433772408423; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:21
Episode no = 90; won: True; Q(s,a) = 434.84173257010707; reward = 92.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:21
Episode no = 100; won: True; Q(s,a) = 439.45865658243554; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:21
Episode no = 110; won: True; Q(s,a) = 345.0671955384763; reward = 82.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:22
Episode no = 120; won: True; Q(s,a) = 466.3531077296092; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:22
Episode no = 130; won: True; Q(s,a) = 388.4801268308149; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:23
Episode no = 140; won: True; Q(s,a) = 475.7555078909327; reward = 83.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:23
Episode no = 150; won: True; Q(s,a) = 444.47905591688664; reward = 94.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:24
Episode no = 160; won: True; Q(s,a) = 464.2623117183516; reward = 96.0; and epsilon = 0.0, win percentage = 1.0, 2025-11-03 16:12:24
